DD,Note,Date,Document Date,Voucher,Account type,Account,Enumerated Text,Text,Debit,Credit,Invoice,Offset account type,Offset account,Ref to physical voucher,Physical voucher,HasOffsetAccounts,VAT (Account),VAT (Offset account),Currency,Debit(Currency),Credit(Currency),Due Date,Settlement type,Settlements,Force settlement,Project,Cost center,Location,Industry,Services provid,On hold
DD,,08-13-2021,,,Ledger,,,,287.68,,MUCIR00014616,Ledger,,,,,,,EUR,,,08-20-2021,,,,1480900002 ,,DUM000,MD,PHS,
,,08-13-2021,,,Vendor,,,,,287.68,MUCIR00014616,Ledger,,,,,0.0,,EUR,,,08-20-2021,,,,,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,40.49,,MUCIR00014685,Ledger,,,,,,,EUR,,,08-23-2021,,,,142810001 ,,DUM000,MD,PHS,
,,08-16-2021,,,Vendor,,,,,40.49,MUCIR00014685,Ledger,,,,,0.0,,EUR,,,08-23-2021,,,,,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,117.46,,MUCIR00014778,Ledger,,,,,,,EUR,,,09-15-2021,,,,142810001 ,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,146.19,,MUCIR00014778,Ledger,,,,,,,EUR,,,09-15-2021,,,,142810004 ,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,34.67,,MUCIR00014778,Ledger,,,,,,,EUR,,,09-15-2021,,,,141880017 ,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,200.69,,MUCIR00014778,Ledger,,,,,,,EUR,,,09-15-2021,,,,1480900002 ,,DUM000,MD,PHS,
,,08-16-2021,,,Vendor,,,,,498.93,MUCIR00014778,Ledger,,,,,36.35,,EUR,,,09-15-2021,,,,,,DUM000,MD,PHS,
,,08-16-2021,,,Ledger,,,,861.34,,MUCIR00014832,Ledger,,,,,,,EUR,,,09-15-2021,,,,141880017 ,,DUM000,MD,PHS,
,,08-16-2021,,,Vendor,,,,,861.26,MUCIR00014832,Ledger,,,,,103.26,,EUR,,,09-15-2021,,,,,,DUM000,MD,PHS,
DD,,08-23-2021,,,Ledger,,,,40.49,,MUCIR00015277,Ledger,,,,,,,EUR,,,08-30-2021,,,,142810001 ,,DUM000,MD,PHS,
,,08-23-2021,,,Vendor,,,,,40.49,MUCIR00015277,Ledger,,,,,0.0,,EUR,,,08-30-2021,,,,,,DUM000,MD,PHS,
DD,,08-23-2021,,,Ledger,,,,258.25,,MUCIR00015384,Ledger,,,,,,,EUR,,,09-22-2021,,,,142810001 ,,DUM000,MD,PHS,
DD,,08-23-2021,,,Ledger,,,,220.12,,MUCIR00015384,Ledger,,,,,,,EUR,,,09-22-2021,,,,142810004 ,,DUM000,MD,PHS,
DD,,08-23-2021,,,Ledger,,,,28.66,,MUCIR00015384,Ledger,,,,,,,EUR,,,09-22-2021,,,,141880017 ,,DUM000,MD,PHS,
,,08-23-2021,,,Vendor,,,,,506.91,MUCIR00015384,Ledger,,,,,69.57,,EUR,,,09-22-2021,,,,,,DUM000,MD,PHS,
,,08-23-2021,,,Ledger,,,,809.51,,MUCIR00015449,Ledger,,,,,,,EUR,,,09-22-2021,,,,141880017 ,,DUM000,MD,PHS,
,,08-23-2021,,,Vendor,,,,,809.4,MUCIR00015449,Ledger,,,,,99.36,,EUR,,,09-22-2021,,,,,,DUM000,MD,PHS,
DD,,08-25-2021,,,Ledger,,,,19.49,,MUCIR00015738,Ledger,,,,,,,EUR,,,09-01-2021,,,,142810001 ,,DUM000,MD,PHS,
DD,,08-25-2021,,,Ledger,,,,191.13,,MUCIR00015738,Ledger,,,,,,,EUR,,,09-01-2021,,,,1480900002 ,,DUM000,MD,PHS,
,,08-25-2021,,,Vendor,,,,,210.62,MUCIR00015738,Ledger,,,,,0.0,,EUR,,,09-01-2021,,,,,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,25.90,,MUCIR00016068,Ledger,,,,,,,EUR,,,09-30-2021,,,,141880017 ,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,243.30,,MUCIR00016068,Ledger,,,,,,,EUR,,,09-30-2021,,,,142810001 ,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,173.03,,MUCIR00016068,Ledger,,,,,,,EUR,,,09-30-2021,,,,142810004 ,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,30.73,,MUCIR00016068,Ledger,,,,,,,EUR,,,09-30-2021,,,,141880017 ,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,12.56,,MUCIR00016068,Ledger,,,,,,,EUR,,,09-30-2021,,,,9999999 ,,DUM000,MD,PHS,
,,08-31-2021,,,Vendor,,,,,485.43,MUCIR00016068,Ledger,,,,,58.9,,EUR,,,09-30-2021,,,,,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,40.49,,MUCIR00016069,Ledger,,,,,,,EUR,,,09-07-2021,,,,142810001 ,,DUM000,MD,PHS,
,,08-31-2021,,,Vendor,,,,,40.49,MUCIR00016069,Ledger,,,,,0.0,,EUR,,,09-07-2021,,,,,,DUM000,MD,PHS,
,,08-31-2021,,,Ledger,,,,1174.58,,MUCIR00016211,Ledger,,,,,,,EUR,,,09-30-2021,,,,141880017 ,,DUM000,MD,PHS,
,,08-31-2021,,,Vendor,,,,,1174.39,MUCIR00016211,Ledger,,,,,139.95,,EUR,,,09-30-2021,,,,,,DUM000,MD,PHS,
DD,,08-16-2021,,,Ledger,,,,15.35,,MUCR000037695,Ledger,,,,,,,EUR,,,09-15-2021,,,,142810001 ,,DUM000,MD,PHS,
,,08-16-2021,,,Vendor,,,,,15.35,MUCR000037695,Ledger,,,,,2.45,,EUR,,,09-15-2021,,,,,,DUM000,MD,PHS,
,,08-16-2021,,,Ledger,,,,38.56,,MUCR000037772,Ledger,,,,,,,EUR,,,09-15-2021,,,,147520002 ,,DUM000,MD,PHS,
,,08-16-2021,,,Vendor,,,,,38.56,MUCR000037772,Ledger,,,,,6.16,,EUR,,,09-15-2021,,,,,,DUM000,MD,PHS,
,,08-23-2021,,,Ledger,,,,57.77,,MUCR000039019,Ledger,,,,,,,EUR,,,09-22-2021,,,,147520002 ,,DUM000,MD,PHS,
,,08-23-2021,,,Vendor,,,,,57.76,MUCR000039019,Ledger,,,,,9.22,,EUR,,,09-22-2021,,,,,,DUM000,MD,PHS,
DD,,08-31-2021,,,Ledger,,,,15.50,,MUCR000041140,Ledger,,,,,,,EUR,,,09-30-2021,,,,142810001 ,,DUM000,MD,PHS,
,,08-31-2021,,,Vendor,,,,,15.49,MUCR000041140,Ledger,,,,,2.47,,EUR,,,09-30-2021,,,,,,DUM000,MD,PHS,
